Øvelsesnummer,URL på youtube, URL på hjemmeside
15.C6,https://youtu.be/acgBL3QPB-s,http://yubio.dk/booklinks.html?id=15_C6
16. Kaste,https://youtu.be/TJm2fLEeh2M,http://yubio.dk/booklinks.html?id=16__Kaste
16. Gribe,https://youtu.be/JvV-xsNuhGw,http://yubio.dk/booklinks.html?id=16__Gribe
16. Out & in,https://youtu.be/CHAcrlxIGKg,http://yubio.dk/booklinks.html?id=16__Out_and_in
16. Hook & fly,https://youtu.be/k4DLAopSQmw,http://yubio.dk/booklinks.html?id=16__Hook_and_fly
16. Comeback & post,https://youtu.be/4nn9xh_qFg0,http://yubio.dk/booklinks.html?id=16__Comeback_and_post
16. Handoff,https://youtu.be/nU-jzpIdFTI,http://yubio.dk/booklinks.html?id=16__Handoff
16. Snap,https://youtu.be/2-GxZl61Zhw,http://yubio.dk/booklinks.html?id=16__Snap
16.A3,https://youtu.be/mOmjXrtrjvk,http://yubio.dk/booklinks.html?id=16_A3
16.B1,https://youtu.be/ljKrWB_h01s,http://yubio.dk/booklinks.html?id=16_B1
16.B2,https://youtu.be/ZqOt3xodH1c,http://yubio.dk/booklinks.html?id=16_B2
16.B3,https://youtu.be/O7UYkv5uE-o,http://yubio.dk/booklinks.html?id=16_B3
16.B4,https://youtu.be/nGu2QXpJT9I,http://yubio.dk/booklinks.html?id=16_B4
16.B5,https://youtu.be/Ns2-mrBK0jw,http://yubio.dk/booklinks.html?id=16_B5
16.B6,https://youtu.be/4eYmIf-RugE,http://yubio.dk/booklinks.html?id=16_B6
16.C2,https://youtu.be/JxrdpgM_39c,http://yubio.dk/booklinks.html?id=16_C2
16.C3,https://youtu.be/DFvH6WVuCoU,http://yubio.dk/booklinks.html?id=16_C3
16.C4,https://youtu.be/bKbIt_GDuF0,http://yubio.dk/booklinks.html?id=16_C4
16.C5,https://youtu.be/nsa8xcp1TI4,http://yubio.dk/booklinks.html?id=16_C5
20 Evaluering 1,https://www.concept2.com/indoor-rowers/training/calculators/vo2max-calculator,http://yubio.dk/booklinks.html?id=20_Evaluering_1
20 Evaluering 2,https://youtu.be/7xs-f5mAwAo,http://yubio.dk/booklinks.html?id=20_Evaluering_2
22. Teknik 3,https://youtu.be/KIiFFeyD9Nw,http://yubio.dk/booklinks.html?id=22__Teknik_3
22. Teknik 4,https://youtu.be/ELlYC0iwx1U,http://yubio.dk/booklinks.html?id=22__Teknik_4
22. Teknik 5,https://youtu.be/kcbgWajub5Y,http://yubio.dk/booklinks.html?id=22__Teknik_5
22. Teknik 6,https://youtu.be/x0EY1Pqf9TE,http://yubio.dk/booklinks.html?id=22__Teknik_6
22.A3,https://youtu.be/YtTIp9Usl_E,http://yubio.dk/booklinks.html?id=22_A3
22.B1,https://youtu.be/ilT8FSjMB0g,http://yubio.dk/booklinks.html?id=22_B1
22.B2,https://youtu.be/aQrb69lLCT4,http://yubio.dk/booklinks.html?id=22_B2
22.B4,https://youtu.be/ogDbgeaViDw,http://yubio.dk/booklinks.html?id=22_B4
22.B5,https://youtu.be/fLP6qi8zM_I,http://yubio.dk/booklinks.html?id=22_B5
22. Teknik 7,https://youtu.be/Q88LmqJdP4w,http://yubio.dk/booklinks.html?id=22__Teknik_7
22. Teknik 8,https://youtu.be/RjjGJSjcbE0,http://yubio.dk/booklinks.html?id=22__Teknik_8
22. Teknik 9,https://youtu.be/i3PKAxrjGPE,http://yubio.dk/booklinks.html?id=22__Teknik_9
22. Teknik 10,https://youtu.be/3B6WQdJZrUk,http://yubio.dk/booklinks.html?id=22__Teknik_10
22. Teknik 11,https://youtu.be/opCOPfn5DSc,http://yubio.dk/booklinks.html?id=22__Teknik_11
22. Teknik 12,https://youtu.be/VCS_yLhLsQ0,http://yubio.dk/booklinks.html?id=22__Teknik_12
22.C1,https://youtu.be/fagsUhgAwzE,http://yubio.dk/booklinks.html?id=22_C1
22.C2,https://youtu.be/HsxnTdSG5IA,http://yubio.dk/booklinks.html?id=22_C2
22.C3,https://youtu.be/PeOLLPJx2v4,http://yubio.dk/booklinks.html?id=22_C3
22.C4,https://youtu.be/0KCd6yn4Bzw,http://yubio.dk/booklinks.html?id=22_C4
22.C5,https://youtu.be/MW572JQeaA0,http://yubio.dk/booklinks.html?id=22_C5
22. Teknik 13,https://youtu.be/d20RwIgqf8M,http://yubio.dk/booklinks.html?id=22__Teknik_13
22. Teknik 14,https://youtu.be/Ay36Js0YQwU,http://yubio.dk/booklinks.html?id=22__Teknik_14
22. Teknik 15,https://youtu.be/DglQMS1nses,http://yubio.dk/booklinks.html?id=22__Teknik_15
22. Teknik 16,https://youtu.be/NfouGRVRMJM,http://yubio.dk/booklinks.html?id=22__Teknik_16
22. Teknik 17,https://youtu.be/0uIKWi_AthQ,http://yubio.dk/booklinks.html?id=22__Teknik_17
22. Teknik 18,https://youtu.be/9xy-8O_2SkY,http://yubio.dk/booklinks.html?id=22__Teknik_18
22.D1,https://youtu.be/rTUbC1kxZHc,http://yubio.dk/booklinks.html?id=22_D1
22.D2,https://youtu.be/grYGJxFAyv4,http://yubio.dk/booklinks.html?id=22_D2
22.D3,https://youtu.be/lmJF0S9Cct8,http://yubio.dk/booklinks.html?id=22_D3
22.D4,https://youtu.be/MvzNgriWln0,http://yubio.dk/booklinks.html?id=22_D4
22.D5,https://youtu.be/K85sgEfylH8,http://yubio.dk/booklinks.html?id=22_D5
22.D6,https://youtu.be/7e6hLBSgK1A,http://yubio.dk/booklinks.html?id=22_D6
22.E5,https://youtu.be/bE62XRMDNrE,http://yubio.dk/booklinks.html?id=22_E5
22.E6,https://youtu.be/t5IvLWG8D38,http://yubio.dk/booklinks.html?id=22_E6
22.E7,https://youtu.be/k_9A0xzNBio,http://yubio.dk/booklinks.html?id=22_E7
22.E8,https://youtu.be/eIgg6wxjzZI,http://yubio.dk/booklinks.html?id=22_E8
22.E9,https://youtu.be/RNMe4OKTuOE,http://yubio.dk/booklinks.html?id=22_E9
22.E10,https://youtu.be/59HmqWBuVew,http://yubio.dk/booklinks.html?id=22_E10
22.E11,https://youtu.be/lM9XHUiy4ZY,http://yubio.dk/booklinks.html?id=22_E11
Figur 23.3,https://youtu.be/KtT4rCUA9ys,http://yubio.dk/booklinks.html?id=Figur_23_3
Figur 23.5,https://youtu.be/E8i8BJ_UiCc,http://yubio.dk/booklinks.html?id=Figur_23_5
Figur 23.6,https://youtu.be/NhLGUb9O41Y,http://yubio.dk/booklinks.html?id=Figur_23_6
23.A1,https://youtu.be/dzmZ9rzjSt8,http://yubio.dk/booklinks.html?id=23_A1
23.A2,https://youtu.be/FU4wLD5nc3o,http://yubio.dk/booklinks.html?id=23_A2
23.A3,https://youtu.be/y18u2UImeZU,http://yubio.dk/booklinks.html?id=23_A3
23.A5,https://youtu.be/imxwJ7jozJ0,http://yubio.dk/booklinks.html?id=23_A5
23.A6,https://youtu.be/O8vxCmrs7E8,http://yubio.dk/booklinks.html?id=23_A6
23.C1,https://youtu.be/UVTJg8tVpbc,http://yubio.dk/booklinks.html?id=23_C1
23.C2,https://youtu.be/dVNZZEHEZ2A,http://yubio.dk/booklinks.html?id=23_C2
23.C3,https://youtu.be/5Ag1T9MAwCg,http://yubio.dk/booklinks.html?id=23_C3
23.C4,https://youtu.be/SSoK2bPqsrY,http://yubio.dk/booklinks.html?id=23_C4
23.C5,https://youtu.be/2smZ0fVPsJk,http://yubio.dk/booklinks.html?id=23_C5
23.C6,https://youtu.be/CI2S1MXxuTw,http://yubio.dk/booklinks.html?id=23_C6
23.D1,https://youtu.be/zaD-uIg6lCo,http://yubio.dk/booklinks.html?id=23_D1
23.D2,https://youtu.be/pXEQypWJmo8,http://yubio.dk/booklinks.html?id=23_D2
23.D3,https://youtu.be/aNYdsLHEOz8,http://yubio.dk/booklinks.html?id=23_D3
23.E1,https://youtu.be/pEMXdVBUgtE,http://yubio.dk/booklinks.html?id=23_E1
23.E2,https://youtu.be/QYCKlwyG8Oo,http://yubio.dk/booklinks.html?id=23_E2
23.E3,https://youtu.be/Tnjbqv4Suos,http://yubio.dk/booklinks.html?id=23_E3
23.E4,https://youtu.be/bO1y0KN2ZUk,http://yubio.dk/booklinks.html?id=23_E4
23.F1,https://youtu.be/OXlKffevoSI,http://yubio.dk/booklinks.html?id=23_F1
23.F2,https://youtu.be/7mSgAyC1M1A,http://yubio.dk/booklinks.html?id=23_F2
23.F3,https://youtu.be/8yPu0e76OwE,http://yubio.dk/booklinks.html?id=23_F3
23.F4,https://youtu.be/VRnAK_dkZ3E,http://yubio.dk/booklinks.html?id=23_F4
23.F5,https://youtu.be/HuyMK68WSMc,http://yubio.dk/booklinks.html?id=23_F5
23.F6,https://youtu.be/XlODfnE82K4,http://yubio.dk/booklinks.html?id=23_F6
23.G1,https://youtu.be/PRn6QAvyxpk,http://yubio.dk/booklinks.html?id=23_G1
23.G2,https://youtu.be/s2_vt6_orUM,http://yubio.dk/booklinks.html?id=23_G2
23.G3,https://youtu.be/a_902FF6A68,http://yubio.dk/booklinks.html?id=23_G3
24.A9,https://youtu.be/bmT--iOfpOc,http://yubio.dk/booklinks.html?id=24_A9
24.A17,https://youtu.be/ofhhD6TU0LM,http://yubio.dk/booklinks.html?id=24_A17
24.A18,https://youtu.be/BiiotxRlBz4,http://yubio.dk/booklinks.html?id=24_A18
24.A19,https://youtu.be/D2-wmGYbWhA,http://yubio.dk/booklinks.html?id=24_A19
24.A20,https://youtu.be/zQX2a69aeV4,http://yubio.dk/booklinks.html?id=24_A20
24.A21,https://youtu.be/A2jDiBzDlsA,http://yubio.dk/booklinks.html?id=24_A21
24.A22,https://youtu.be/8XB-JHKWarA,http://yubio.dk/booklinks.html?id=24_A22
24.B8,https://youtu.be/YuQgw9fWLSs,http://yubio.dk/booklinks.html?id=24_B8
24.B10,https://youtu.be/RzhN59dPKsY,http://yubio.dk/booklinks.html?id=24_B10
24.B14,https://youtu.be/XFUYOTEVGXc,http://yubio.dk/booklinks.html?id=24_B14
24.C3,https://youtu.be/qN6g4h8eX2I,http://yubio.dk/booklinks.html?id=24_C3
24.C4,https://youtu.be/a2WjZ2riZvw,http://yubio.dk/booklinks.html?id=24_C4
24.C5,https://youtu.be/FcpLd7FVPvc,http://yubio.dk/booklinks.html?id=24_C5
24.C6,https://youtu.be/STCDBqGzhuQ,http://yubio.dk/booklinks.html?id=24_C6
24.C9,https://youtu.be/32bvXsMniDs,http://yubio.dk/booklinks.html?id=24_C9
24.C10,https://youtu.be/ip3BGugY4ls,http://yubio.dk/booklinks.html?id=24_C10
24.D1,https://youtu.be/dRxrs83wxdM,http://yubio.dk/booklinks.html?id=24_D1
24.D2,https://youtu.be/DLFnA-ElhnA,http://yubio.dk/booklinks.html?id=24_D2
25.A1,https://youtu.be/Q_bdO_TGZZs,http://yubio.dk/booklinks.html?id=25_A1
25.A2,https://youtu.be/BkB8yNcHAik,http://yubio.dk/booklinks.html?id=25_A2
